domain,status,ttl_seconds
rik.ooo,taken,582184
rim.ooo,taken,582581
rio.ooo,taken,581539
roar.ooo,taken,583262
rob.ooo,taken,583117
robert.ooo,taken,584660
roberto.ooo,taken,584899
robo.ooo,taken,583997
roi.ooo,taken,583498
rok.ooo,taken,551642
rolando.ooo,taken,584910
romeo.ooo,taken,585079
rong.ooo,taken,584450
ronnie.ooo,taken,584370
roo.ooo,taken,579094
roopam.ooo,taken,554546
roy.ooo,taken,584667
ruda.ooo,taken,583963
run.ooo,taken,581917
runa.ooo,taken,583345
rus.ooo,taken,584493
russell.ooo,taken,583143
saad.ooo,taken,583664
sab.ooo,taken,584085
sabin.ooo,taken,552705
sad.ooo,taken,580887
sae.ooo,taken,585646
saga.ooo,taken,581341
saima.ooo,taken,583231
sako.ooo,taken,553090
sakura.ooo,taken,585699
salah.ooo,taken,584224
sally.ooo,taken,584409
sam.ooo,taken,584324
samo.ooo,taken,582453
san.ooo,taken,581729
sana.ooo,taken,584099
sandy.ooo,taken,584402
santa.ooo,taken,584763
sao.ooo,taken,577903
sarah.ooo,taken,584283
saraswati.ooo,taken,550360
sasa.ooo,taken,585488
sato.ooo,taken,585630
schmid.ooo,taken,582866
scott.ooo,taken,583115
season.ooo,taken,581831
seb.ooo,taken,584126
sebastian.ooo,taken,584898
sebi.ooo,taken,585508
sem.ooo,taken,582190
seno.ooo,taken,553697
sephora.ooo,taken,577938
sergio.ooo,taken,584898
seven.ooo,taken,584394
shane.ooo,taken,583123
shaun.ooo,taken,583134
shawn.ooo,taken,583120
she.ooo,taken,581621
shimizu.ooo,taken,585668
shin.ooo,taken,585622
shine.ooo,taken,552527
shiro.ooo,taken,585655
shoko.ooo,taken,585693
shy.ooo,taken,581651
sia.ooo,taken,579756
sid.ooo,taken,583184
sido.ooo,taken,582431
sil.ooo,taken,582286
silja.ooo,taken,583365
sim.ooo,taken,584387
simon.ooo,taken,584326
sio.ooo,taken,553778
siw.ooo,taken,583340
six.ooo,taken,579377
sky.ooo,taken,584345
sly.ooo,taken,578253
smart.ooo,taken,550492
smith.ooo,taken,585133
snow.ooo,taken,584458
so.ooo,taken,584410
sofia.ooo,taken,584959
sofo.ooo,taken,578323
sol.ooo,taken,584981
solo.ooo,taken,582455
soo.ooo,taken,579732
soon.ooo,taken,580667
sophia.ooo,taken,584084
sophie.ooo,taken,584044
soren.ooo,taken,581076
soso.ooo,taken,584070
spark.ooo,taken,581916
sparta.ooo,taken,579344
spencer.ooo,taken,584395
stanislav.ooo,taken,585427
stas.ooo,taken,585428
steel.ooo,taken,581929
stefan.ooo,taken,585473
steffan.ooo,taken,583304
steve.ooo,taken,585076
still.ooo,taken,578271
stone.ooo,taken,584394
sun.ooo,taken,584415
suna.ooo,taken,552974
sunday.ooo,taken,579195
sunny.ooo,taken,584329
sunshine.ooo,taken,581622
swiss.ooo,taken,582867
syl.ooo,taken,554251
sylvan.ooo,taken,550662
sze.ooo,taken,584415
ta.ooo,taken,582575
taj.ooo,taken,579959
tak.ooo,taken,584347
tako.ooo,taken,552005
takumi.ooo,taken,585618
tam.ooo,taken,584337
tang.ooo,taken,584333
tao.ooo,taken,584397
tari.ooo,taken,580297
taso.ooo,taken,551937
tat.ooo,taken,584365
tayo.ooo,taken,550484
tea.ooo,taken,581320
ted.ooo,taken,584385
tee.ooo,taken,579669
teko.ooo,taken,578378
ter.ooo,taken,583978
tessa.ooo,taken,583226
